ensembl ,gene ,log2FC,pvalue,padj,cell,timepoint
ENSG00000251580,RP11-539L10.3,-0.725509409,0.003773649,0.253013453,HuH7,early
ENSG00000223779,RP11-403I13.4,-1.420416005,0.01084719,0.253858437,HepG2,early
ENSG00000227192,RP1-45I4.3,-0.946775439,0.004054504,0.255095674,HuH7,early
ENSG00000228624,RP3-399L15.3,-0.669622575,0.004097596,0.255095674,HuH7,early
ENSG00000228624,RP3-399L15.3,-0.669622575,0.004097596,0.255095674,HuH7,early
ENSG00000228624,RP3-399L15.3,-0.669622575,0.004097596,0.255095674,HuH7,early
ENSG00000228624,RP3-399L15.3,-0.669622575,0.004097596,0.255095674,HuH7,early
ENSG00000214293,RSBN1L-AS1,-1.112897684,0.011150488,0.256763244,HepG2,early
ENSG00000259772,RP11-16E12.2,-1.368049245,0.004253158,0.257526364,HuH7,early
ENSG00000249550,RP11-438N16.1,-1.10700499,0.011402765,0.25965772,HepG2,early
ENSG00000267308,AC004510.3,-1.852759664,0.011447671,0.25965772,HepG2,early
ENSG00000233184,RP11-421L21.3,-1.071330962,0.011706077,0.261071301,HepG2,early
ENSG00000185044,RP11-435B5.4,-1.313548384,0.012020241,0.262495428,HepG2,early
ENSG00000235142,RP1-60O19.1,-1.027920809,0.005986277,0.262667858,HepG2,mid
ENSG00000233230,AC079807.2,-1.414695763,0.012141244,0.262838526,HepG2,early
ENSG00000235609,AF127936.7,-0.8200502,0.00603633,0.263184005,HepG2,mid
ENSG00000226091,LINC00937,-1.483046701,0.012410874,0.264309335,HepG2,early
ENSG00000266993,RP4-657D16.3,-1.733802745,0.01278805,0.265209719,HepG2,early
ENSG00000273297,RP11-38M8.1,-1.183699827,0.013012796,0.266819267,HepG2,early
ENSG00000268536,AC005523.3,1.475186301,0.013134164,0.268073909,HepG2,early
ENSG00000270362,HMGN3-AS1,-1.094194845,0.013287608,0.268073909,HepG2,early
ENSG00000227906,SNAP25-AS1,-0.869870759,0.004638835,0.268561657,HuH7,early
ENSG00000237310,GS1-124K5.4,-0.742191727,0.0046604,0.268892425,HuH7,early
ENSG00000173811,CCDC13-AS1,-1.648744045,0.013419833,0.268919792,HepG2,early
ENSG00000223478,RP11-545E17.3,-0.866426496,0.001649457,0.269035991,HuH7,mid
ENSG00000177337,DLGAP1-AS1,-1.44485228,0.013710015,0.269139616,HepG2,early
ENSG00000245213,RP11-10K16.1,1.249643293,0.013698847,0.269139616,HepG2,early
ENSG00000234509,AP000253.1,-2.002081104,0.001472678,0.269311189,HepG2,late
ENSG00000234509,AP000253.1,-2.002081104,0.001472678,0.269311189,HepG2,late
ENSG00000235997,AC109642.1,1.366221845,0.01378024,0.269910616,HepG2,early
ENSG00000245694,CRNDE,0.931884701,0.014085349,0.27068557,HepG2,early
ENSG00000249532,MIR302B,1.247345086,0.013889132,0.27068557,HepG2,early
ENSG00000268592,RP11-244K5.8,1.20466412,0.014111208,0.27068557,HepG2,early
ENSG00000232803,RP11-93B14.5,-1.612080429,0.014544565,0.272809414,HepG2,early
ENSG00000237594,AP000251.3,1.416395697,0.01456849,0.272809414,HepG2,early
ENSG00000254054,RP11-156K13.3,-1.028717689,0.004873703,0.274659873,HuH7,early
ENSG00000235501,RP4-639F20.1,-1.1805075,0.015113911,0.276386732,HepG2,early
ENSG00000245275,SAP30L-AS1,1.228180375,0.015130561,0.276386732,HepG2,early
ENSG00000247317,RP11-273G15.2,-1.387438583,0.015358821,0.276982916,HepG2,early
ENSG00000272645,RP11-504P24.8,-1.413429167,0.015593438,0.276982916,HepG2,early
ENSG00000245384,AC004053.1,-1.53826237,0.015671109,0.27709963,HepG2,early
ENSG00000245384,AC004053.1,-1.53826237,0.015671109,0.27709963,HepG2,early
ENSG00000229891,Z83851.1,1.111549304,0.015804547,0.27734944,HepG2,early
ENSG00000229334,AC046143.3,-1.512162947,0.0159205,0.277583509,HepG2,early
ENSG00000234787,LINC00458,1.722625768,0.016007821,0.278193153,HepG2,early
ENSG00000248510,RP11-145G20.1,-0.856161242,0.005022045,0.278395254,HuH7,early
ENSG00000248510,RP11-145G20.1,-0.856161242,0.005022045,0.278395254,HuH7,early
ENSG00000248510,RP11-145G20.1,-0.856161242,0.005022045,0.278395254,HuH7,early
ENSG00000250511,RP11-380D23.1,-1.683551806,0.016160479,0.279107493,HepG2,early
ENSG00000224934,RP11-441O15.3,-1.086144703,0.016514593,0.280811911,HepG2,early
ENSG00000229205,LINC00200,-1.726926432,0.01663702,0.280811911,HepG2,early
ENSG00000251072,RP11-434D11.4,1.537131049,0.016938475,0.281441729,HepG2,early
ENSG00000230647,AC022816.2,1.222014016,0.005210749,0.28311283,HuH7,early
ENSG00000247081,RP11-318M2.2,-0.70465581,0.005272154,0.28311283,HuH7,early
ENSG00000247092,SNHG10,-1.039746885,0.01720039,0.283273703,HepG2,early
ENSG00000261824,LINC00662,-0.948356897,0.017494085,0.284700822,HepG2,early
ENSG00000261824,LINC00662,-0.948356897,0.017494085,0.284700822,HepG2,early
